variant,contrast,a,b,d_margin_first_prefixed,d_margin_first_prefixed_lo,d_margin_first_prefixed_hi,n_items,d_belief_flip,d_belief_flip_lo,d_belief_flip_hi,d_greedy_has_wrong,d_greedy_has_wrong_lo,d_greedy_has_wrong_hi,d_greedy_has_gt,d_greedy_has_gt_lo,d_greedy_has_gt_hi,d_greedy_refusal,d_greedy_refusal_lo,d_greedy_refusal_hi
base,"5 vs 1 repeats (prior-users frame, warning sys)",pu_k5_history,pu_k1_history,-0.9418639929965138,-1.1898213072028012,-0.7050468171061949,40,0.1,0.025,0.2,0.05,-0.075,0.2,0.0,0.0,0.0,0.0,0.0,0.0
base,authority trust (1 claim) vs 5 repeats participant,auth_trust,pr_k5_plain,0.4092661126982421,-0.10433509058086202,0.9969597177556715,40,-0.075,-0.175,0.0,-0.525,-0.7,-0.35,0.025,0.0,0.075,0.275,0.1,0.45
base,authority bias: warning vs control sys,auth_bias,auth_bias_ctrlsys,0.26501379241235556,0.0741664676903747,0.4620974767510777,40,0.025,0.0,0.075,-0.15,-0.325,0.025,0.025,0.0,0.075,-0.025,-0.075,0.0
base,ngram matched vs participant frame (both no sys),ngram_matched,pr_k5_plain_nosys,0.004345644824206829,-0.44288059557788073,0.42004789314698393,40,0.025,-0.05,0.1,-0.05,-0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0
base,ngram orig vs ngram matched (instruction wording),ngram_orig,ngram_matched,0.37098394986242056,-0.005228679585270583,0.7818105142936104,40,-0.05,-0.125,0.0,0.05,-0.125,0.225,0.025,0.0,0.075,0.0,0.0,0.0
base,ngram matched+ctrl sys vs participant frame+ctrl sys,ngram_matched_ctrlsys,pr_k5_plain,-0.01022335235029459,-0.31267480860464275,0.2935237499326466,40,0.025,0.0,0.075,-0.4,-0.575,-0.225,0.05,0.0,0.125,0.075,-0.075,0.25
base,LICENSE: control without 'say unsure' vs control,control_nolicense,control,-0.0035694051533937455,-0.06642175537534059,0.0602706331759691,40,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.125,-0.075,-0.175,0.0
base,LICENSE: 5 repeats without clause vs with clause,pr_k5_plain_nolicense,pr_k5_plain,0.16664898805320263,0.07918203750625254,0.2550352459494023,40,0.0,0.0,0.0,-0.1,-0.25,0.05,0.025,0.0,0.075,-0.1,-0.2,-0.025
base,LICENSE: frame-only without clause vs with clause,pr_k0_plain_nolicense,pr_k0_plain,0.0019318807870149612,-0.06811595350503921,0.0743477152660489,40,-0.025,-0.075,0.0,-0.025,-0.075,0.0,0.075,0.0,0.15,-0.3,-0.45,-0.15
base,LICENSE: user claim without clause vs with clause,auth_trust_nolicense,auth_trust,0.15079240729101,0.045052032748935746,0.26045367544167675,40,0.0,0.0,0.0,0.3,0.15,0.475,0.05,0.0,0.125,-0.375,-0.525,-0.225
base,SOURCE: user reports 5 peers vs 5 peer lines,user_reports_k5,pr_k5_plain,0.8347053671255708,0.30476185901556163,1.467653885749168,40,-0.075,-0.175,0.0,-0.575,-0.725,-0.425,0.025,0.0,0.075,0.1,-0.05,0.25
base,SOURCE: user reports 1 peer vs user's own claim,user_reports_k1,auth_trust,0.08423682716675103,-0.10003695782041178,0.27960021286737174,40,0.0,-0.075,0.075,0.1,-0.125,0.3,0.0,0.0,0.0,-0.225,-0.4,-0.05
base,SOURCE: user reports 5 vs 1,user_reports_k5,user_reports_k1,0.3412024272605777,0.17513024285435674,0.5229917478002608,40,0.0,-0.075,0.075,-0.15,-0.3,0.0,0.0,0.0,0.0,0.05,0.0,0.125
instruct,frame only (k=0) vs control,pr_k0_plain,control,0.20084230601906938,-0.420717075018911,0.8452911194437177,40,0.0,-0.1,0.1,-0.025,-0.1,0.05,0.0,0.0,0.0,0.525,0.375,0.675
instruct,filler lines vs frame only,pr_k5_filler,pr_k0_plain,0.022754040364134198,-0.6236382896417229,0.6888753256202661,40,-0.025,-0.125,0.05,0.025,0.0,0.075,0.025,0.0,0.075,-0.275,-0.45,-0.1
instruct,correct peers vs frame only,pr_k5_correct,pr_k0_plain,4.795715272183406,3.2203060440045466,6.376573795193139,40,-0.2,-0.325,-0.075,-0.025,-0.075,0.0,0.3,0.15,0.45,-0.3,-0.475,-0.125
instruct,1 repeat vs frame only,pr_k1_plain,pr_k0_plain,-1.704426304340086,-3.20975606195143,-0.21564874266962797,40,0.15,0.025,0.275,0.075,-0.025,0.2,0.05,0.0,0.125,-0.275,-0.425,-0.125
instruct,5 repeats vs 1 repeat,pr_k5_plain,pr_k1_plain,-1.1254382769487166,-2.000692231228816,-0.20981165620063652,40,0.025,-0.05,0.125,0.0,-0.1,0.1,-0.025,-0.1,0.05,0.125,-0.05,0.3
instruct,8 repeats vs 5 repeats,pr_k8_plain,pr_k5_plain,-0.6314636763326462,-1.0858707645207475,-0.2204983879524552,40,0.0,-0.075,0.075,0.0,-0.075,0.075,-0.025,-0.075,0.0,0.175,0.075,0.3
instruct,QD (stated once) vs 5 repeats,pr_qd,pr_k5_plain,0.2511705411451658,-0.5784672873943258,1.0716877609996842,40,-0.025,-0.15,0.075,-0.05,-0.175,0.075,0.025,0.0,0.075,-0.075,-0.25,0.1
instruct,diverse (no consensus) vs 5 repeats,pr_k5_diverse,pr_k5_plain,-0.29555041967769285,-1.6382488710318852,1.013260784694304,40,0.075,-0.025,0.175,-0.075,-0.175,0.025,0.0,0.0,0.0,0.15,0.025,0.275
instruct,DA (4+1) vs 5 repeats,pr_k5_da,pr_k5_plain,-1.1153014670982884,-1.772738408748046,-0.49341205948217987,40,0.075,-0.05,0.2,0.0,-0.125,0.125,0.025,-0.05,0.1,0.025,-0.1,0.15
instruct,confident (varied) vs plain (identical),pr_k5_confident,pr_k5_plain,-1.6077818661277887,-2.6083743037289673,-0.7270170053934459,40,0.175,0.075,0.3,0.25,0.125,0.375,-0.05,-0.125,0.0,-0.075,-0.225,0.075
instruct,uncertain vs plain,pr_k5_uncertain,pr_k5_plain,-0.5918151091366781,-1.2033307504760773,0.038268149312309395,40,0.025,-0.05,0.125,0.125,-0.025,0.275,0.05,-0.05,0.15,-0.25,-0.425,-0.075
instruct,warning sys vs control sys (participant frame),pr_k5_plain_warnsys,pr_k5_plain,1.0812318591538315,0.37386200460174,1.7607891445464883,40,-0.025,-0.15,0.075,-0.025,-0.15,0.1,-0.025,-0.075,0.0,-0.4,-0.55,-0.25
instruct,no sys vs control sys (participant frame),pr_k5_plain_nosys,pr_k5_plain,0.5390441078749972,0.02338708293810214,1.0775970129390744,40,-0.05,-0.125,0.0,-0.025,-0.15,0.1,0.0,-0.075,0.075,-0.375,-0.525,-0.225
instruct,"prior-users frame vs participant frame (both control sys, 5 identical)",pu_k5_history_ctrlsys,pr_k5_plain,-0.5574889872496896,-1.646695895216269,0.5846795683358752,40,0.15,0.025,0.275,0.15,0.0,0.3,-0.025,-0.075,0.0,-0.4,-0.55,-0.25
