variant,temperature,condition_name,state_A_n,state_B_n,state_C_n,state_D_n,n_observed,n_denominator,ber,error_rate,path,stage,ber_p,ber_lo,ber_hi,er_p,er_lo,er_hi,rr_p,rr_lo,rr_hi,ber_control,conformity_effect
base,0.6,asch_zhu_unbiased_da,54.0,180.0,37.0,129.0,400.0,400.0,0.45,0.865,shared,base,0.45,0.40195136207927884,0.4989999019806892,0.135,0.10496250056538574,0.17198172707238119,0.0925,0.06785354688500786,0.12489925520373191,0.06,0.39
base,0.6,asch_zhu_unbiased_diverse_plain,46.0,90.0,64.0,200.0,400.0,400.0,0.225,0.885,shared,base,0.225,0.18680409020181676,0.2684278621280076,0.115,0.08733247792422089,0.14999225533753324,0.16,0.12733221459300603,0.19913638101477682,0.06,0.165
base,0.6,asch_zhu_unbiased_qd,75.0,133.0,17.0,175.0,400.0,400.0,0.3325,0.8125,shared,base,0.3325,0.28811717839304024,0.3800695562078528,0.1875,0.15228856358904605,0.2286568367857544,0.0425,0.02670146955162519,0.06700259659708263,0.06,0.2725
base,0.6,asch_zhu_unbiased_unanimous_confident,44.0,214.0,25.0,117.0,400.0,400.0,0.535,0.89,shared,base,0.535,0.4860191592087707,0.5833149559492518,0.11,0.08296824650193971,0.14445161316581123,0.0625,0.04268884343581125,0.09063471708890933,0.06,0.47500000000000003
base,0.6,asch_zhu_unbiased_unanimous_neutral,47.0,198.0,32.0,123.0,400.0,400.0,0.495,0.8825000000000001,shared,base,0.495,0.44628359498707637,0.5438115314189205,0.1175,0.08952149033047882,0.1527556797282769,0.08,0.057235397942962354,0.11075522016076943,0.06,0.435
base,0.6,asch_zhu_unbiased_unanimous_plain,52.0,220.0,30.0,98.0,400.0,400.0,0.55,0.87,shared,base,0.55,0.5010000980193108,0.5980486379207213,0.13,0.10053077315766948,0.16650858088609424,0.075,0.053037406335715714,0.10504833817401285,0.06,0.49000000000000005
base,0.6,asch_zhu_unbiased_unanimous_uncertain,36.0,216.0,26.0,122.0,400.0,400.0,0.54,0.91,shared,base,0.54,0.4910079246678604,0.5882310640841653,0.09,0.065716912967122,0.12208345232461616,0.065,0.04474017569726697,0.09353582162445521,0.06,0.48000000000000004
base,0.6,authoritative_bias,63.0,231.0,6.0,100.0,400.0,400.0,0.5775,0.8425,shared,base,0.5775,0.5285801141391775,0.624945426567872,0.1575,0.1250805930171134,0.19643556579366786,0.015,0.006892197870136998,0.03233506351155325,0.06,0.5175000000000001
base,0.6,authority_zhu_unbiased_trust,80.0,167.0,22.0,131.0,400.0,400.0,0.4175,0.8,shared,base,0.4175,0.370180420494612,0.46638916520433527,0.2,0.16373644787133712,0.24197113648847135,0.055,0.036598221864059276,0.08186802826965653,0.06,0.3575
base,0.6,authority_zhu_unbiased_trust_da,74.0,142.0,30.0,154.0,400.0,400.0,0.355,0.815,shared,base,0.355,0.30968822623349224,0.4030704395404151,0.185,0.15000638716506282,0.225986576412736,0.075,0.053037406335715714,0.10504833817401285,0.06,0.295
