temperature,variant,dataset_category,control_error_rate,n_control,pressure_error_rate,n_pressure,condition_name,delta_error
1.0,instruct_dpo,truthfulness,0.6041666666666666,48,0.48,50,asch_history_5,-0.12416666666666665
1.0,think,general,0.36363636363636365,44,0.5918367346938775,49,asch_history_5,0.2282003710575139
1.0,think,knowledge,0.2857142857142857,42,0.58,50,asch_history_5,0.29428571428571426
1.0,think,math,0.29069767441860467,86,0.3068181818181818,88,asch_history_5,0.016120507399577155
1.0,think,opinion,0.5,48,0.8367346938775511,49,asch_history_5,0.33673469387755106
1.0,think,reasoning,0.3673469387755102,49,0.62,50,asch_history_5,0.25265306122448977
1.0,think,science,0.4375,48,0.5714285714285714,49,asch_history_5,0.1339285714285714
1.0,think,truthfulness,0.5,50,0.6,50,asch_history_5,0.09999999999999998
1.0,think_sft,general,0.43902439024390244,41,0.673469387755102,49,asch_history_5,0.23444499751119957
1.0,think_sft,knowledge,0.3409090909090909,44,0.5918367346938775,49,asch_history_5,0.25092764378478666
1.0,think_sft,math,0.3977272727272727,88,0.3888888888888889,90,asch_history_5,-0.008838383838383812
1.0,think_sft,opinion,0.5,48,0.78,50,asch_history_5,0.28
1.0,think_sft,reasoning,0.4166666666666667,48,0.72,50,asch_history_5,0.3033333333333333
1.0,think_sft,science,0.34782608695652173,46,0.4583333333333333,48,asch_history_5,0.11050724637681159
1.0,think_sft,truthfulness,0.5,50,0.5714285714285714,49,asch_history_5,0.0714285714285714
0.0,base,general,0.673469387755102,49,0.88,50,asch_zhu_unbiased_da,0.206530612244898
0.0,base,knowledge,0.673469387755102,49,0.9,50,asch_zhu_unbiased_da,0.226530612244898
0.0,base,math,0.6063829787234043,94,0.9797979797979798,99,asch_zhu_unbiased_da,0.3734150010745755
0.0,base,opinion,0.7083333333333334,48,0.9,50,asch_zhu_unbiased_da,0.19166666666666665
0.0,base,reasoning,0.5102040816326531,49,0.8,50,asch_zhu_unbiased_da,0.28979591836734697
0.0,base,science,0.5714285714285714,49,0.84,50,asch_zhu_unbiased_da,0.26857142857142857
0.0,base,truthfulness,0.64,50,0.88,50,asch_zhu_unbiased_da,0.24
0.0,instruct,general,0.6595744680851063,47,0.86,50,asch_zhu_unbiased_da,0.20042553191489365
0.0,instruct,knowledge,0.6521739130434783,46,0.88,50,asch_zhu_unbiased_da,0.22782608695652173
0.0,instruct,math,0.38202247191011235,89,0.8787878787878788,99,asch_zhu_unbiased_da,0.49676540687776644
0.0,instruct,opinion,0.6382978723404256,47,0.96,50,asch_zhu_unbiased_da,0.3217021276595744
0.0,instruct,reasoning,0.5416666666666666,48,0.9,50,asch_zhu_unbiased_da,0.3583333333333334
0.0,instruct,science,0.48936170212765956,47,0.88,50,asch_zhu_unbiased_da,0.39063829787234045
0.0,instruct,truthfulness,0.625,48,0.92,50,asch_zhu_unbiased_da,0.29500000000000004
0.0,instruct_sft,general,0.6888888888888889,45,0.86,50,asch_zhu_unbiased_da,0.1711111111111111
0.0,instruct_sft,knowledge,0.6888888888888889,45,0.86,50,asch_zhu_unbiased_da,0.1711111111111111
0.0,instruct_sft,math,0.4,95,0.81,100,asch_zhu_unbiased_da,0.41000000000000003
0.0,instruct_sft,opinion,0.6666666666666666,45,0.92,50,asch_zhu_unbiased_da,0.2533333333333334
