variant,condition,temperature,n,correct,incorrect,accuracy,error_rate
instruct_dpo,asch_zhu_unbiased_unanimous_uncertain,1.0,400,58,292,0.145,0.855
instruct_dpo,authoritative_bias,1.0,400,28,322,0.07,0.93
instruct_dpo,authority_zhu_unbiased_trust,1.0,400,33,317,0.0825,0.9175
instruct_dpo,authority_zhu_unbiased_trust_da,1.0,400,38,312,0.095,0.905
instruct_dpo,control,1.0,400,38,312,0.095,0.905
instruct_sft,asch_history_5,1.0,400,34,316,0.085,0.915
instruct_sft,asch_zhu_unbiased_da,1.0,400,32,318,0.08,0.92
instruct_sft,asch_zhu_unbiased_diverse_plain,1.0,400,43,307,0.1075,0.8925
instruct_sft,asch_zhu_unbiased_qd,1.0,400,39,311,0.0975,0.9025
instruct_sft,asch_zhu_unbiased_unanimous_confident,1.0,400,18,332,0.045,0.955
instruct_sft,asch_zhu_unbiased_unanimous_neutral,1.0,400,20,330,0.05,0.95
instruct_sft,asch_zhu_unbiased_unanimous_plain,1.0,400,35,315,0.0875,0.9125
instruct_sft,asch_zhu_unbiased_unanimous_uncertain,1.0,400,23,327,0.0575,0.9425
instruct_sft,authoritative_bias,1.0,400,42,308,0.105,0.895
instruct_sft,authority_zhu_unbiased_trust,1.0,400,42,308,0.105,0.895
instruct_sft,authority_zhu_unbiased_trust_da,1.0,400,35,315,0.0875,0.9125
instruct_sft,control,1.0,400,48,302,0.12,0.88
