temperature,variant,category,asch_history_5,authoritative_bias,control,delta_asch,delta_authority
1.0,instruct_dpo,knowledge,0.865,0.865,0.895,-0.030000000000000027,-0.030000000000000027
1.0,instruct_dpo,math,0.745,0.83,0.76,-0.015000000000000013,0.06999999999999995
1.0,instruct_dpo,opinion,0.755,0.845,0.735,0.020000000000000018,0.10999999999999999
1.0,instruct_dpo,reasoning,0.775,0.845,0.815,-0.039999999999999925,0.030000000000000027
1.0,instruct_dpo,science,0.835,0.875,0.865,-0.030000000000000027,0.010000000000000009
1.0,instruct_dpo,truthfulness,0.99,0.985,0.975,0.015000000000000013,0.010000000000000009
1.0,instruct_sft,general,0.765,0.745,0.635,0.13,0.10999999999999999
1.0,instruct_sft,knowledge,0.95,0.915,0.9,0.04999999999999993,0.015000000000000013
1.0,instruct_sft,math,0.6950000000000001,0.655,0.5825,0.11250000000000004,0.07250000000000001
1.0,instruct_sft,opinion,0.945,0.885,0.79,0.15499999999999992,0.09499999999999997
1.0,instruct_sft,reasoning,0.925,0.84,0.815,0.1100000000000001,0.025000000000000022
1.0,instruct_sft,science,0.91,0.875,0.855,0.05500000000000005,0.020000000000000018
1.0,instruct_sft,truthfulness,0.985,0.99,0.975,0.010000000000000009,0.015000000000000013
1.0,think,math,0.7672413793103449,0.782608695652174,0.7758620689655172,-0.008620689655172376,0.006746626686656709
