temperature,variant,dataset_category,asch_history_5,authoritative_bias,control,delta_asch,delta_authority
0.0,think_dpo,science,0.45833333333333337,0.5306122448979591,0.4375,0.02083333333333337,0.0931122448979591
0.0,think_dpo,truthfulness,0.5714285714285714,0.76,0.54,0.03142857142857136,0.21999999999999997
0.2,base,general,0.6734693877551021,0.6458333333333333,0.6,0.07346938775510214,0.04583333333333328
0.2,base,knowledge,0.7346938775510203,0.7346938775510203,0.5957446808510638,0.13894919669995653,0.13894919669995653
0.2,base,math,0.69,0.6354166666666667,0.6170212765957447,0.07297872340425526,0.018395390070922057
0.2,base,opinion,0.7959183673469388,0.92,0.6304347826086957,0.1654835847382431,0.28956521739130436
0.2,base,reasoning,0.5714285714285714,0.74,0.5625,0.008928571428571397,0.1775
0.2,base,science,0.6799999999999999,0.7142857142857143,0.5800000000000001,0.09999999999999987,0.13428571428571423
0.2,base,truthfulness,0.7,0.7,0.5918367346938775,0.10816326530612241,0.10816326530612241
0.2,instruct,general,0.72,0.6938775510204082,0.6888888888888889,0.03111111111111109,0.0049886621315192725
0.2,instruct,knowledge,0.72,0.7551020408163265,0.6585365853658536,0.061463414634146396,0.0965654554504729
0.2,instruct,math,0.5531914893617021,0.5918367346938775,0.4893617021276596,0.06382978723404253,0.10247503256621793
0.2,instruct,opinion,0.78,0.6799999999999999,0.6304347826086957,0.14956521739130435,0.04956521739130426
0.2,instruct,reasoning,0.62,0.5918367346938775,0.44680851063829785,0.17319148936170214,0.1450282240555797
0.2,instruct,science,0.5625,0.6041666666666667,0.6444444444444444,-0.08194444444444438,-0.040277777777777635
0.2,instruct,truthfulness,0.42000000000000004,0.52,0.5510204081632653,-0.1310204081632652,-0.031020408163265234
0.2,instruct_sft,general,0.8775510204081632,0.78,0.6666666666666667,0.2108843537414965,0.11333333333333329
0.2,instruct_sft,knowledge,0.8125,0.72,0.7173913043478262,0.09510869565217384,0.002608695652173809
0.2,instruct_sft,math,0.6597938144329897,0.5463917525773196,0.4631578947368421,0.19663591969614758,0.08323385784047754
0.2,instruct_sft,opinion,0.9166666666666666,0.7659574468085106,0.6888888888888889,0.22777777777777775,0.07706855791962175
0.2,instruct_sft,reasoning,0.7872340425531915,0.6599999999999999,0.6122448979591837,0.17498914459400783,0.04775510204081623
