variant,temperature,condition_name,n_denominator,ber_pressure,ber_pressure_lo,ber_pressure_hi,ber_control,ber_ctrl_lo,ber_ctrl_hi,conformity_effect,ce_lo,ce_hi
instruct,0.4,authority_zhu_unbiased_trust,400.0,0.2825,0.24060954581038724,0.3285284528504738,0.0575,0.038617261729224514,0.08480142520149289,0.22499999999999998,0.15580812060889435,0.28991119112124925
instruct,0.4,authority_zhu_unbiased_trust_da,400.0,0.2925,0.25006128808159916,0.3388864577672683,0.0575,0.038617261729224514,0.08480142520149289,0.235,0.16525986288010627,0.30026919603804375
instruct,0.6,asch_history_5,400.0,0.18,0.1454497374118191,0.22063835257197656,0.0675,0.046801154899328234,0.09642727921939556,0.11249999999999999,0.04902245819242354,0.17383719767264832
instruct,0.6,asch_zhu_unbiased_da,400.0,0.2025,0.16603317911938578,0.24462684203742427,0.0675,0.046801154899328234,0.09642727921939556,0.135,0.06960589989999022,0.19782568713809603
instruct,0.6,asch_zhu_unbiased_diverse_plain,400.0,0.13,0.10053077315766948,0.16650858088609424,0.0675,0.046801154899328234,0.09642727921939556,0.0625,0.004103493938273917,0.11970742598676601
instruct,0.6,asch_zhu_unbiased_qd,400.0,0.1425,0.11163780858819913,0.18016372944057255,0.0675,0.046801154899328234,0.09642727921939556,0.07499999999999998,0.015210529368803571,0.1333625745412443
instruct,0.6,asch_zhu_unbiased_unanimous_confident,400.0,0.485,0.4363980471740593,0.5338873320439311,0.0675,0.046801154899328234,0.09642727921939556,0.4175,0.33997076795466374,0.4870861771446029
instruct,0.6,asch_zhu_unbiased_unanimous_neutral,400.0,0.5,0.4512336165999552,0.5487663834000448,0.0675,0.046801154899328234,0.09642727921939556,0.4325,0.35480633738055967,0.5019652285007166
instruct,0.6,asch_zhu_unbiased_unanimous_plain,400.0,0.2,0.16373644787133712,0.24197113648847135,0.0675,0.046801154899328234,0.09642727921939556,0.1325,0.06730916865194156,0.19516998158914312
instruct,0.6,asch_zhu_unbiased_unanimous_uncertain,400.0,0.35,0.304884853065619,0.39796893911428516,0.0675,0.046801154899328234,0.09642727921939556,0.2825,0.20845757384622346,0.3511677842149569
instruct,0.6,authoritative_bias,400.0,0.2775,0.23589351571381517,0.3233396093530428,0.0675,0.046801154899328234,0.09642727921939556,0.21000000000000002,0.1394662364944196,0.27653845445371456
instruct,0.6,authority_zhu_unbiased_trust,400.0,0.32,0.2761833561331949,0.3672411944826901,0.0675,0.046801154899328234,0.09642727921939556,0.2525,0.17975607691379933,0.32044003958336187
instruct,0.6,authority_zhu_unbiased_trust_da,400.0,0.3025,0.25953861492842695,0.34921887810844693,0.0675,0.046801154899328234,0.09642727921939556,0.235,0.16311133570903139,0.3024177232091187
instruct,0.8,asch_history_5,400.0,0.175,0.140903632613942,0.21527958377585044,0.07,0.048871304519740505,0.0993095663959849,0.10499999999999998,0.04159406621795711,0.16640827925610993
instruct,0.8,asch_zhu_unbiased_da,400.0,0.19,0.15457325560638852,0.23132458156541352,0.07,0.048871304519740505,0.0993095663959849,0.12,0.055263689210403616,0.18245327704567302
instruct,0.8,asch_zhu_unbiased_diverse_plain,400.0,0.12,0.09171493428788872,0.1555146725678686,0.07,0.048871304519740505,0.0993095663959849,0.04999999999999999,-0.007594632108096175,0.1066433680481281
instruct,0.8,asch_zhu_unbiased_qd,400.0,0.1475,0.1161055571050416,0.18560085451773328,0.07,0.048871304519740505,0.0993095663959849,0.07749999999999999,0.0167959907090567,0.13672954999799278
instruct,0.8,asch_zhu_unbiased_unanimous_confident,400.0,0.48,0.43146252672290986,0.5289179789010773,0.07,0.048871304519740505,0.0993095663959849,0.41,0.332152960326925,0.48004667438133675
instruct,0.8,asch_zhu_unbiased_unanimous_neutral,400.0,0.475,0.4265318481465433,0.5239437838834407,0.07,0.048871304519740505,0.0993095663959849,0.40499999999999997,0.32722228175055845,0.4750724793637001
instruct,0.8,asch_zhu_unbiased_unanimous_plain,400.0,0.21,0.17293709734247628,0.2525802342053385,0.07,0.048871304519740505,0.0993095663959849,0.13999999999999999,0.07362753094649138,0.20370892968559798
instruct,0.8,asch_zhu_unbiased_unanimous_uncertain,400.0,0.3425,0.29769022933249495,0.39030625245640455,0.07,0.048871304519740505,0.0993095663959849,0.2725,0.19838066293651005,0.34143494793666407
instruct,0.8,authoritative_bias,400.0,0.3325,0.28811717839304024,0.3800695562078528,0.07,0.048871304519740505,0.0993095663959849,0.2625,0.18880761199705534,0.33119825168811234
