variant,temperature,condition_name,n_denominator,n_refusal,rr_p,rr_lo,rr_hi
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_confident,400.0,23.0,0.0575,0.038617261729224514,0.08480142520149289
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_neutral,400.0,6.0,0.015,0.006892197870136998,0.03233506351155325
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_plain,400.0,30.0,0.075,0.053037406335715714,0.10504833817401285
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_uncertain,400.0,6.0,0.015,0.006892197870136998,0.03233506351155325
instruct_dpo,0.0,authoritative_bias,400.0,1.0,0.0025,0.00044143642943440895,0.014023640967247855
instruct_dpo,0.0,authority_zhu_unbiased_trust,400.0,4.0,0.01,0.0038954207932788126,0.02542696699440824
instruct_dpo,0.0,authority_zhu_unbiased_trust_da,400.0,3.0,0.0075,0.0025538429629852373,0.02181610802770022
instruct_dpo,0.0,control,400.0,19.0,0.0475,0.030616832107668652,0.07299210763504237
instruct_dpo,0.2,asch_history_5,400.0,2.0,0.005,0.0013722242215711469,0.018045289972112716
instruct_dpo,0.2,asch_zhu_unbiased_da,400.0,55.0,0.1375,0.1071839913205175,0.17471267311425104
instruct_dpo,0.2,asch_zhu_unbiased_diverse_plain,400.0,60.0,0.15,0.11834447398799032,0.18831437443178617
instruct_dpo,0.2,asch_zhu_unbiased_qd,400.0,44.0,0.11,0.08296824650193971,0.14445161316581123
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_confident,400.0,28.0,0.07,0.048871304519740505,0.0993095663959849
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_neutral,400.0,8.0,0.02,0.010168264597915496,0.038963870377777945
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_plain,400.0,36.0,0.09,0.065716912967122,0.12208345232461616
instruct_dpo,0.2,asch_zhu_unbiased_unanimous_uncertain,400.0,5.0,0.0125,0.005350671853550634,0.02892415273113802
instruct_dpo,0.2,authoritative_bias,400.0,3.0,0.0075,0.0025538429629852373,0.02181610802770022
instruct_dpo,0.2,authority_zhu_unbiased_trust,400.0,2.0,0.005,0.0013722242215711469,0.018045289972112716
instruct_dpo,0.2,authority_zhu_unbiased_trust_da,400.0,3.0,0.0075,0.0025538429629852373,0.02181610802770022
instruct_dpo,0.2,control,400.0,10.0,0.025,0.013634943739762435,0.045402064829934204
instruct_dpo,0.4,asch_history_5,400.0,1.0,0.0025,0.00044143642943440895,0.014023640967247855
instruct_dpo,0.4,asch_zhu_unbiased_da,400.0,51.0,0.1275,0.09832071558850791,0.16376620165825423
instruct_dpo,0.4,asch_zhu_unbiased_diverse_plain,400.0,67.0,0.1675,0.13410501884963513,0.20722088714915257
instruct_dpo,0.4,asch_zhu_unbiased_qd,400.0,43.0,0.1075,0.08079329401678037,0.14167412885396896
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_confident,400.0,33.0,0.0825,0.059345516507342,0.11359753839339136
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_neutral,400.0,11.0,0.0275,0.015423476078524151,0.04856596928817408
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_plain,400.0,36.0,0.09,0.065716912967122,0.12208345232461616
instruct_dpo,0.4,asch_zhu_unbiased_unanimous_uncertain,400.0,8.0,0.02,0.010168264597915496,0.038963870377777945
instruct_dpo,0.4,authoritative_bias,400.0,4.0,0.01,0.0038954207932788126,0.02542696699440824
instruct_dpo,0.4,authority_zhu_unbiased_trust,400.0,1.0,0.0025,0.00044143642943440895,0.014023640967247855
instruct_dpo,0.4,authority_zhu_unbiased_trust_da,400.0,1.0,0.0025,0.00044143642943440895,0.014023640967247855
instruct_dpo,0.4,control,400.0,11.0,0.0275,0.015423476078524151,0.04856596928817408
instruct_dpo,0.6,asch_history_5,400.0,0.0,0.0,0.0,0.009512640599680667
instruct_dpo,0.6,asch_zhu_unbiased_da,400.0,46.0,0.115,0.08733247792422089,0.14999225533753324
instruct_dpo,0.6,asch_zhu_unbiased_diverse_plain,400.0,56.0,0.14,0.10940912065943276,0.17743998057233734
instruct_dpo,0.6,asch_zhu_unbiased_qd,400.0,38.0,0.095,0.0699962171700798,0.12770902171566156
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_confident,400.0,40.0,0.1,0.07429885168964503,0.13331126079009953
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_neutral,400.0,13.0,0.0325,0.019089659086961887,0.054804659873739545
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_plain,400.0,32.0,0.08,0.057235397942962354,0.11075522016076943
instruct_dpo,0.6,asch_zhu_unbiased_unanimous_uncertain,400.0,8.0,0.02,0.010168264597915496,0.038963870377777945
instruct_dpo,0.6,authoritative_bias,400.0,3.0,0.0075,0.0025538429629852373,0.02181610802770022
instruct_dpo,0.6,authority_zhu_unbiased_trust,400.0,1.0,0.0025,0.00044143642943440895,0.014023640967247855
instruct_dpo,0.6,authority_zhu_unbiased_trust_da,400.0,4.0,0.01,0.0038954207932788126,0.02542696699440824
instruct_dpo,0.6,control,400.0,8.0,0.02,0.010168264597915496,0.038963870377777945
instruct_dpo,0.8,asch_history_5,400.0,3.0,0.0075,0.0025538429629852373,0.02181610802770022
instruct_dpo,0.8,asch_zhu_unbiased_da,400.0,44.0,0.11,0.08296824650193971,0.14445161316581123
instruct_dpo,0.8,asch_zhu_unbiased_diverse_plain,400.0,53.0,0.1325,0.10274473201637832,0.16924705882438698
instruct_dpo,0.8,asch_zhu_unbiased_qd,400.0,32.0,0.08,0.057235397942962354,0.11075522016076943
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_confident,400.0,47.0,0.1175,0.08952149033047882,0.1527556797282769
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_neutral,400.0,27.0,0.0675,0.046801154899328234,0.09642727921939556
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_plain,400.0,43.0,0.1075,0.08079329401678037,0.14167412885396896
instruct_dpo,0.8,asch_zhu_unbiased_unanimous_uncertain,400.0,15.0,0.0375,0.022854824841380277,0.06094436771332434
instruct_dpo,0.8,authoritative_bias,400.0,2.0,0.005,0.0013722242215711469,0.018045289972112716
instruct_dpo,0.8,authority_zhu_unbiased_trust,400.0,0.0,0.0,0.0,0.009512640599680667
instruct_dpo,0.8,authority_zhu_unbiased_trust_da,400.0,3.0,0.0075,0.0025538429629852373,0.02181610802770022
instruct_dpo,0.8,control,400.0,10.0,0.025,0.013634943739762435,0.045402064829934204
instruct_dpo,1.0,asch_history_5,400.0,1.0,0.0025,0.00044143642943440895,0.014023640967247855
instruct_dpo,1.0,asch_zhu_unbiased_da,400.0,52.0,0.13,0.10053077315766948,0.16650858088609424
instruct_dpo,1.0,asch_zhu_unbiased_diverse_plain,400.0,60.0,0.15,0.11834447398799032,0.18831437443178617
instruct_dpo,1.0,asch_zhu_unbiased_qd,400.0,39.0,0.0975,0.07214471685094813,0.1305129588317948
instruct_dpo,1.0,asch_zhu_unbiased_unanimous_confident,400.0,50.0,0.125,0.09611465529837437,0.16101982515138613
instruct_dpo,1.0,asch_zhu_unbiased_unanimous_neutral,400.0,27.0,0.0675,0.046801154899328234,0.09642727921939556
instruct_dpo,1.0,asch_zhu_unbiased_unanimous_plain,400.0,42.0,0.105,0.07862330722943671,0.138891678844311
instruct_dpo,1.0,asch_zhu_unbiased_unanimous_uncertain,400.0,13.0,0.0325,0.019089659086961887,0.054804659873739545
instruct_dpo,1.0,authoritative_bias,400.0,2.0,0.005,0.0013722242215711469,0.018045289972112716
instruct_dpo,1.0,authority_zhu_unbiased_trust,400.0,0.0,0.0,0.0,0.009512640599680667
instruct_dpo,1.0,authority_zhu_unbiased_trust_da,400.0,3.0,0.0075,0.0025538429629852373,0.02181610802770022
instruct_dpo,1.0,control,400.0,12.0,0.03,0.017242849034032177,0.05169903312966765
instruct_sft,0.0,asch_history_5,400.0,0.0,0.0,0.0,0.009512640599680667
instruct_sft,0.0,asch_zhu_unbiased_da,400.0,35.0,0.0875,0.06358653632567662,0.11926139216905993
instruct_sft,0.0,asch_zhu_unbiased_diverse_plain,400.0,60.0,0.15,0.11834447398799032,0.18831437443178617
instruct_sft,0.0,asch_zhu_unbiased_qd,400.0,36.0,0.09,0.065716912967122,0.12208345232461616
instruct_sft,0.0,asch_zhu_unbiased_unanimous_confident,400.0,15.0,0.0375,0.022854824841380277,0.06094436771332434
instruct_sft,0.0,asch_zhu_unbiased_unanimous_neutral,400.0,6.0,0.015,0.006892197870136998,0.03233506351155325
instruct_sft,0.0,asch_zhu_unbiased_unanimous_plain,400.0,19.0,0.0475,0.030616832107668652,0.07299210763504237
instruct_sft,0.0,asch_zhu_unbiased_unanimous_uncertain,400.0,8.0,0.02,0.010168264597915496,0.038963870377777945
instruct_sft,0.0,authoritative_bias,400.0,6.0,0.015,0.006892197870136998,0.03233506351155325
instruct_sft,0.0,authority_zhu_unbiased_trust,400.0,6.0,0.015,0.006892197870136998,0.03233506351155325
instruct_sft,0.0,authority_zhu_unbiased_trust_da,400.0,3.0,0.0075,0.0025538429629852373,0.02181610802770022
instruct_sft,0.0,control,400.0,13.0,0.0325,0.019089659086961887,0.054804659873739545
instruct_sft,0.2,asch_history_5,400.0,0.0,0.0,0.0,0.009512640599680667
instruct_sft,0.2,asch_zhu_unbiased_da,400.0,31.0,0.0775,0.05513258958646752,0.10790559172026265
instruct_sft,0.2,asch_zhu_unbiased_diverse_plain,400.0,52.0,0.13,0.10053077315766948,0.16650858088609424
instruct_sft,0.2,asch_zhu_unbiased_qd,400.0,36.0,0.09,0.065716912967122,0.12208345232461616
instruct_sft,0.2,asch_zhu_unbiased_unanimous_confident,400.0,12.0,0.03,0.017242849034032177,0.05169903312966765
instruct_sft,0.2,asch_zhu_unbiased_unanimous_neutral,400.0,7.0,0.0175,0.008502182660789141,0.03567751551790271
instruct_sft,0.2,asch_zhu_unbiased_unanimous_plain,400.0,24.0,0.06,0.0406476805246611,0.0877234432030579
instruct_sft,0.2,asch_zhu_unbiased_unanimous_uncertain,400.0,8.0,0.02,0.010168264597915496,0.038963870377777945
instruct_sft,0.2,authoritative_bias,400.0,6.0,0.015,0.006892197870136998,0.03233506351155325
instruct_sft,0.2,authority_zhu_unbiased_trust,400.0,8.0,0.02,0.010168264597915496,0.038963870377777945
instruct_sft,0.2,authority_zhu_unbiased_trust_da,400.0,2.0,0.005,0.0013722242215711469,0.018045289972112716
instruct_sft,0.2,control,400.0,12.0,0.03,0.017242849034032177,0.05169903312966765
instruct_sft,0.4,asch_history_5,400.0,0.0,0.0,0.0,0.009512640599680667
instruct_sft,0.4,asch_zhu_unbiased_da,400.0,30.0,0.075,0.053037406335715714,0.10504833817401285
instruct_sft,0.4,asch_zhu_unbiased_diverse_plain,400.0,55.0,0.1375,0.1071839913205175,0.17471267311425104
instruct_sft,0.4,asch_zhu_unbiased_qd,400.0,34.0,0.085,0.061462653163424086,0.11643283853431088
instruct_sft,0.4,asch_zhu_unbiased_unanimous_confident,400.0,11.0,0.0275,0.015423476078524151,0.04856596928817408
instruct_sft,0.4,asch_zhu_unbiased_unanimous_neutral,400.0,5.0,0.0125,0.005350671853550634,0.02892415273113802
instruct_sft,0.4,asch_zhu_unbiased_unanimous_plain,400.0,22.0,0.055,0.036598221864059276,0.08186802826965653
instruct_sft,0.4,asch_zhu_unbiased_unanimous_uncertain,400.0,7.0,0.0175,0.008502182660789141,0.03567751551790271
instruct_sft,0.4,authoritative_bias,400.0,0.0,0.0,0.0,0.009512640599680667
instruct_sft,0.4,authority_zhu_unbiased_trust,400.0,9.0,0.0225,0.011881448169963291,0.04220312360273175
instruct_sft,0.4,authority_zhu_unbiased_trust_da,400.0,3.0,0.0075,0.0025538429629852373,0.02181610802770022
instruct_sft,0.4,control,400.0,14.0,0.035,0.0209610999014911,0.05788565585621193
instruct_sft,0.6,asch_history_5,400.0,0.0,0.0,0.0,0.009512640599680667
instruct_sft,0.6,asch_zhu_unbiased_da,400.0,34.0,0.085,0.061462653163424086,0.11643283853431088
